customer_id,churn_score,uplift_score,quadrant_label,recommended_action,execution_timestamp
7729-XBTWX,0.0707,0.0077,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
3594-KADLU,0.7283,0.1008,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
7351-MHQVU,0.7107,-0.0631,Do-Not-Disturb,Strictly Suppress - Outreach Triggers Subscription Cancellation,2026-09-07T01:43:36.498156
6629-CZTTH,0.7852,0.0735,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
5996-NRVXR,0.2459,0.0187,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
6174-NRBTZ,0.1081,0.1098,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
1904-WAJAA,0.0855,-0.0051,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
8023-QHAIO,0.3391,0.1086,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0824-VWDPO,0.1897,0.1448,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
8111-RKSPX,0.8937,0.0557,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0326-VDYXE,0.1553,0.1273,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
5948-UJZLF,0.8051,0.0191,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
8361-LBRDI,0.0736,0.0021,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
8792-AOROI,0.0982,0.0071,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
2636-OHFMN,0.8377,-0.1428,Do-Not-Disturb,Strictly Suppress - Outreach Triggers Subscription Cancellation,2026-09-07T01:43:36.498156
3716-BDVDB,0.8933,0.0944,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0932-YIXYU,0.0768,0.0337,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0872-JCPIB,0.6992,0.1125,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
4801-KFYKL,0.4311,0.0374,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
3090-QFUVD,0.5577,0.2452,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
8665-UTDHZ,0.6858,0.1212,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
4013-GUXND,0.6341,0.2088,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
7410-KTVFV,0.562,0.0653,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
8035-BUYVG,0.11,0.094,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
1735-XMJVH,0.429,0.1142,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4299-SIMNS,0.8877,0.0658,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
6259-WJQLC,0.7596,0.0494,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
6906-MPARY,0.2101,0.1112,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0134-XWXCE,0.245,0.0223,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
8329-IBCTI,0.5907,0.1236,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
8644-XLFBW,0.8986,0.018,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
6608-QQLVK,0.856,0.0633,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
2333-KWEWW,0.0694,-0.0199,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
3976-HXHCE,0.0714,0.0327,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4912-PIGUY,0.8846,0.1532,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
4398-HSCJH,0.8513,0.151,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
8627-ZYGSZ,0.2639,0.0975,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
6518-PPLMZ,0.1068,0.0679,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4146-SVFUD,0.7169,0.0603,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0621-CXBKL,0.081,0.0618,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
2691-NZETQ,0.8818,0.0999,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
1064-FBXNK,0.3854,0.1944,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
8347-GDTMP,0.0715,0.0061,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
6891-JPYFF,0.6399,0.1985,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
7442-YGZFK,0.7799,0.0797,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
9840-EFJQB,0.8839,0.0888,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
8016-NCFVO,0.6088,-0.0913,Do-Not-Disturb,Strictly Suppress - Outreach Triggers Subscription Cancellation,2026-09-07T01:43:36.498156
9103-CXVOK,0.5754,0.0295,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
2607-DHDAK,0.0914,-0.0327,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0565-JUPYD,0.1284,0.1212,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
5144-PQCDZ,0.5618,0.1814,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
6715-OFDBP,0.8908,0.0433,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0749-IRGQE,0.7962,0.2216,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
7841-TZDMQ,0.7817,0.1154,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
8651-ENBZX,0.2857,0.2173,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
5947-SGKCL,0.8746,0.0939,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
2511-MORQY,0.0976,0.0226,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
1391-UBDAR,0.8659,0.1192,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
2485-ITVKB,0.8001,0.1793,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
4597-ELFTS,0.0778,0.0426,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
2267-WTPYD,0.614,0.0926,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
1335-MXCSE,0.0684,0.0202,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
2603-HVKCG,0.8425,0.1176,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
9801-NOSHQ,0.1048,0.027,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0916-KNFAJ,0.0689,0.0079,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
6230-BSUXY,0.896,0.2393,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
2724-FJDYW,0.1087,0.1055,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
8654-DHAOW,0.8264,0.0596,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
9351-HXDMR,0.0734,-0.0263,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
2453-SAFNS,0.1243,0.1175,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
7310-EGVHZ,0.5405,0.2527,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
5168-MSWXT,0.9133,-0.0357,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
6435-SRWBJ,0.8769,0.0781,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
4277-UDIEF,0.6777,0.1326,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
4488-PSYCG,0.332,0.0755,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4553-DVPZG,0.5338,0.2339,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
6022-KOUQO,0.5316,0.1165,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
1757-TCATG,0.0976,0.0557,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
6650-BWFRT,0.0698,0.0406,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
9967-ATRFS,0.3335,0.1198,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
5568-DMXZS,0.8352,0.121,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
4797-MIWUM,0.6279,0.0402,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
6261-RCVNS,0.177,0.1297,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
3744-ZRRDZ,0.8668,0.0448,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
3853-LYGAM,0.7419,0.1496,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
6543-CPZMK,0.7393,0.1184,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
6248-TKCQV,0.0661,-0.0014,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0442-TDYUO,0.0805,0.0213,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
6972-SNKKW,0.5065,0.2145,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
2984-TBYKU,0.074,-0.0062,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0923-PNFUB,0.8933,0.0198,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
2122-SZZZD,0.0895,0.0414,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0297-RBCSG,0.2764,0.1331,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
9692-TUSXH,0.8564,0.1126,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0402-OAMEN,0.0658,-0.0069,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0774-IFUVM,0.7222,0.1164,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
1465-VINDH,0.8985,0.0063,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0723-VSOBE,0.0994,0.0556,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
3845-FXCYS,0.6636,0.0623,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
6624-JDRDS,0.5072,0.1243,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
4282-ACRXS,0.3481,0.1015,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
9919-YLNNG,0.6384,0.1094,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
6813-GZQCG,0.07,0.0273,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
9894-QMIMJ,0.1979,0.0213,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
7851-FLGGQ,0.8133,0.0154,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
9805-FILKB,0.0866,0.0695,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
5821-MMEIL,0.0701,-0.0518,Do-Not-Disturb,Strictly Suppress - Outreach Triggers Subscription Cancellation,2026-09-07T01:43:36.498156
2348-KCJLT,0.1171,0.082,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4514-GFCFI,0.8536,0.0872,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
9224-VTYID,0.0697,0.0497,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0052-DCKON,0.1117,0.1121,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
5845-BZZIB,0.0717,-0.0073,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
2466-FCCPT,0.1034,0.0198,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
1755-RMCXH,0.5564,0.1248,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
1866-RZZQS,0.8699,0.0901,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0623-EJQEG,0.1122,-0.0014,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0533-BNWKF,0.7091,0.1712,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
9347-AERRL,0.1189,0.0949,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0021-IKXGC,0.8975,0.0423,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
4441-NIHPT,0.8847,0.0456,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
3786-WOVKF,0.1074,0.1166,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
6166-ILMNY,0.8819,0.0429,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
8865-TNMNX,0.3852,0.1112,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
8183-ONMXC,0.8847,0.1045,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
5327-XOKKY,0.0655,-0.0106,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
5071-FBJFS,0.8197,-0.0153,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
1779-PWPMG,0.0683,0.0068,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4159-NAAIX,0.0726,0.0083,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0487-VVUVK,0.2671,0.1307,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0603-TPMIB,0.0771,0.0169,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
2983-ZANRP,0.8901,0.0559,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
7610-TVOPG,0.5463,0.029,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
7549-MYGPK,0.5023,0.2236,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
6823-SIDFQ,0.0925,0.0522,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0230-WEQUW,0.0647,-0.0205,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
5383-MMTWC,0.8708,0.0015,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
9294-TDIPC,0.4737,0.1894,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
2300-RQGOI,0.07,-0.0135,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0835-DUUIQ,0.091,0.0436,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4636-TVXVG,0.083,0.0635,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
9500-IWPXQ,0.0932,0.0777,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4322-RCYMT,0.0923,0.1179,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
9489-UTFKA,0.7225,0.1014,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
7927-AUXBZ,0.7152,0.158,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
8561-NMTBD,0.1707,0.2214,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
8080-POTJR,0.2396,0.0333,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
1452-UZOSF,0.0673,-0.0151,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
8292-TYSPY,0.577,0.0279,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
5999-LCXAO,0.6115,0.1289,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0264-CNITK,0.0764,-0.0071,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
1428-IEDPR,0.1023,0.179,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
4647-XXZAM,0.6589,0.0258,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0407-BDJKB,0.5356,-0.0178,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
8444-WRIDW,0.3584,0.0872,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
8015-IHCGW,0.0667,0.0511,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
9885-AIBVB,0.8321,0.1255,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
8915-NNTRC,0.0702,0.0117,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4503-BDXBD,0.8501,0.0957,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0562-HKHML,0.0656,-0.0086,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
9227-YBAXE,0.0667,0.0113,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
6408-OTUBZ,0.0996,0.0968,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
3500-RMZLT,0.7189,0.138,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
4636-JGAAI,0.7637,0.148,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
3645-DEYGF,0.6362,0.2087,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
7048-GXDAY,0.7678,0.0366,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
2057-BOYKM,0.066,-0.0272,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
3158-MOERK,0.8947,-0.0219,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0117-LFRMW,0.2861,0.1944,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
2753-JMMCV,0.0683,-0.0146,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4778-IZARL,0.0719,-0.0307,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
1527-SXDPN,0.0911,0.1273,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
